player,org,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
gobera,LGCY,1.02,221.8,1.09,69%,151.6,0.77,0.22,0.12,0.15,23%,17%
MaKo,DRX,1.02,192.7,0.99,77%,124.9,0.66,0.40,0.07,0.08,27%,17%
ataraxia,LEV.GC,1.02,191.5,1.02,66%,127.2,0.69,0.15,0.09,0.06,34%,17%
geeza,MU,1.02,217.4,1.04,69%,141.7,0.76,0.21,0.12,0.12,27%,4%
Setrexz,DAS,1.02,238.3,1.01,67%,155.9,0.82,0.17,0.21,0.15,29%,14%
meL,SR,1.02,206.2,1.00,75%,134.1,0.69,0.37,0.12,0.09,27%,15%
Seoldam,RID,1.02,213.1,1.07,72%,131.7,0.77,0.19,0.15,0.11,23%,11%
Pa1ze,DIA,1.02,235.1,1.10,69%,148.8,0.82,0.15,0.23,0.21,27%,10%
Governor,TLN,1.01,234.0,1.11,73%,145.6,0.79,0.21,0.19,0.14,22%,7%
Sacy,SEN,1.01,190.1,0.90,74%,128.8,0.61,0.45,0.07,0.08,23%,21%
BuZz,DRX,1.01,241.3,1.11,68%,149.7,0.83,0.17,0.22,0.20,23%,17%
k0rupt,NA,1.01,199.8,0.94,72%,136.7,0.69,0.31,0.08,0.06,28%,23%
heartless,wows,1.01,240.0,0.97,66%,158.1,0.81,0.20,0.20,0.17,27%,4%
Moh,TU,1.01,194.6,1.01,71%,135.2,0.71,0.29,0.10,0.07,31%,9%
Zoestol,Blue,1.01,176.8,1.00,76%,111.5,0.62,0.42,0.07,0.06,24%,9%
Ticey,SNS,1.00,228.4,1.03,67%,148.4,0.80,0.16,0.20,0.20,20%,10%
taka,SGZ,1.00,205.3,1.06,69%,134.5,0.74,0.24,0.17,0.13,35%,13%
Feniz,EXL,1.00,190.4,0.97,75%,137.3,0.68,0.27,0.05,0.06,30%,11%
evv,FLOP,1.00,190.7,1.02,76%,127.8,0.68,0.32,0.05,0.06,33%,18%
hide,GLRS,1.00,198.1,1.00,70%,125.7,0.72,0.28,0.06,0.11,42%,17%
margaret,SPG,1.00,180.5,1.05,71%,124.5,0.66,0.24,0.10,0.11,32%,20%
Lear,THNK,1.00,205.5,0.95,72%,136.6,0.68,0.33,0.07,0.11,19%,3%
DaFt,VIC,1.00,214.7,0.99,72%,148.0,0.74,0.23,0.15,0.13,26%,10%
Caedye,RID,1.00,211.3,1.02,78%,131.6,0.75,0.27,0.12,0.10,33%,13%
kylo,,1.00,223.6,1.05,66%,146.5,0.78,0.13,0.24,0.15,31%,
renz,MU,1.00,202.0,1.02,69%,135.4,0.75,0.23,0.12,0.15,27%,11%
NiSMO,M80,1.00,180.3,0.93,75%,120.4,0.62,0.51,0.06,0.05,29%,7%
xiTsha,DIA,1.00,187.4,1.00,71%,124.1,0.67,0.32,0.06,0.10,32%,18%
johnqt,SEN,1.00,162.2,1.01,74%,106.9,0.59,0.28,0.07,0.06,24%,18%
NMSRLM,TV,1.00,196.2,0.95,71%,124.3,0.69,0.38,0.06,0.07,38%,13%
Angel,MVR,1.00,158.1,0.86,77%,102.6,0.57,0.52,0.07,0.04,36%,
Kon,SISU,1.00,206.7,0.98,71%,138.6,0.68,0.33,0.13,0.08,31%,9%
vinizin,2002,1.00,193.8,0.98,67%,131.2,0.70,0.19,0.14,0.09,26%,18%
zeek,Blue,1.00,184.9,0.97,74%,117.1,0.63,0.59,0.04,0.06,25%,17%
jubs,MIBR.GC,1.00,188.7,1.01,71%,137.0,0.66,0.21,0.07,0.06,23%,11%
Moechilla,STORM,1.00,181.1,1.03,77%,122.3,0.65,0.34,0.07,0.08,29%,5%
ness,GX.GC,0.99,183.7,0.93,73%,129.3,0.61,0.33,0.07,0.06,25%,18%
Truth,SCC,0.99,190.8,1.02,68%,129.5,0.69,0.16,0.05,0.09,30%,9%
NcSlasher,BME,0.99,198.6,1.02,77%,123.9,0.70,0.42,0.09,0.08,22%,8%
pryze,2G,0.99,170.9,0.98,73%,118.0,0.62,0.26,0.06,0.07,23%,21%
Luid,LRJ,0.99,204.1,0.98,68%,136.9,0.73,0.21,0.13,0.12,29%,41%
edith,YFP,0.99,225.8,1.02,65%,148.5,0.79,0.21,0.12,0.19,23%,10%
sonder,FLY.R,0.99,206.6,1.02,75%,131.6,0.72,0.41,0.12,0.09,22%,17%
S1Mon,EDG,0.99,164.5,0.89,76%,109.1,0.57,0.49,0.06,0.04,29%,20%
mili,RF.GC,0.99,218.6,1.04,73%,140.0,0.76,0.20,0.14,0.12,29%,13%
mikee,JL,0.99,199.2,0.95,73%,128.4,0.69,0.29,0.06,0.07,26%,21%
alexis,SR,0.99,175.1,0.93,72%,112.4,0.61,0.47,0.04,0.05,35%,3%
NeskaaS,VLNT,0.99,186.3,0.97,72%,125.0,0.69,0.23,0.09,0.11,28%,25%
str0nda,,0.99,207.7,0.97,63%,143.2,0.73,0.14,0.15,0.17,27%,33%
daiki,TL,0.99,183.0,0.99,73%,120.3,0.66,0.40,0.08,0.09,26%,14%
shyz,TBS,0.99,169.8,0.95,65%,118.1,0.62,0.20,0.04,0.05,31%,11%
isaa,TL,0.99,191.5,1.00,72%,127.7,0.67,0.25,0.07,0.07,31%,11%
Wo0t,TH,0.99,189.6,0.97,75%,124.2,0.66,0.39,0.07,0.09,36%,18%
valyn,G2,0.99,191.2,0.99,72%,118.4,0.70,0.34,0.07,0.07,23%,18%
kramarick,DBM,0.99,184.3,0.99,71%,122.4,0.68,0.32,0.09,0.10,32%,27%
gucc107,WVU,0.98,204.0,0.94,68%,131.1,0.73,0.36,0.09,0.08,27%,19%
Jonaaa6,FAIM,0.98,202.9,1.07,68%,132.0,0.74,0.17,0.08,0.09,30%,19%
C0M,LEV,0.98,192.8,0.95,70%,136.3,0.64,0.27,0.08,0.08,25%,14%
Ange,MU,0.98,193.6,0.91,74%,126.6,0.65,0.43,0.10,0.09,21%,4%
Loweed,,0.98,195.0,0.90,70%,130.8,0.66,0.36,0.09,0.08,27%,13%
Bobbert,SEN,0.98,192.6,0.95,74%,129.7,0.70,0.48,0.06,0.08,22%,8%
